code;name;artista;musica;letra
01594;01594.mp4;Emílio Santiago;Logo Agora;Logo Agora
01595;01595.mp4;Gal Costa;Mar E Sol;Um Sol Eu Sou
01596;01596.mp4;Nando Reis;Mesmo Sozinho;Baby
01597;01597.mp4;Jorge E Mateus;Meu Bem Querer;Posso Até Fazer De Tudo Pra Você Vol
01598;01598.mp4;Fernando Mendes;Meu Primeiro Amor;Foi Numa Festa Outro Dia
01599;01599.mp4;Léo Magalhães;Não É Amor;Você Fala Que Tá Numa Boa
01600;01600.mp4;Alcione;O Que Eu Faço Amanhã;De Repente Você Vem Dizer
01601;01601.mp4;Renato E Seus Blue Caps;A Primeira Lágrima;A Primeira Lágrima
01602;01602.mp4;Renato E Seus Blue Caps;Até O Fim;Você Vai Crescer E Então Verá
01603;01603.mp4;Sérgio Reis;Cabocla Tereza;Lá No Alto Da Montanha
01604;01604.mp4;Alcione;Faz Uma Loucura Por Mim;Faz Uma Loucura Por Mim
01605;01605.mp4;Michel Teló;Fugidinha;Ô Ô Ô Ô Ô Ô
01606;01606.mp4;Leoni;Garotos;Seus Olhos E Seus Olhares
01607;01607.mp4;Zezé Di Camargo E Luciano;Imperfeito;Uma Chuva De Lembranças
01608;01608.mp4;Marisa Monte;Maria De Verdade;La I Iá La I Iá
01609;01609.mp4;Capital Inicial;Mil Vezes;Há Sempre Alguma Coisa Que Esquecemos
01610;01610.mp4;Altemar Dutra;Murmura Ao Mar;Murmura O Mar A Derramar Uma Canção
01611;01611.mp4;Rosana;Música E Lágrima;O Rádio Então Tocou A Música Outra V
01612;01612.mp4;Victor E Léo;Não Mais;Hei
01613;01613.mp4;Guilherme E Santiago;No Limite;Não Dá Mais Pra Esconder Essa Paixão
01614;01614.mp4;Lorena Chaves;Nossa História;Abri A Porta Pra Você Entrar
01615;01615.mp4;Teodoro E Sampaio;O Beijo Do Adeus;Devolva Todas Minhas Coisas
01616;01616.mp4;Roupa Nova E Ivete Sangalo;O Sal Da Terra;Vamos Precisar De Todo Mundo
01617;01617.mp4;Chico Buarque;Olê Olá;Não Chore Ainda Não
01618;01618.mp4;Antônio Marcos;Oração De Um Jovem Triste;Eu Tanto Ouvia Falar Em Ti
01619;01619.mp4;Arlindo Cruz;Para De Paradinha;Se Liga No Papo Xará
01620;01620.mp4;Geraldo Vandré;Porta-Estandarte;Olha Que A Vida É Tão Linda
01621;01621.mp4;Angélica;Primeiro Amor (If);Se Você Quiser Saber Quem Sou
01622;01622.mp4;João Paulo & Eduardo;Promessa;Tô Sentindo Sua Falta Quero Seu Calor
01623;01623.mp4;Capital Inicial;Prova;Vejo Seu Retrato
01624;01624.mp4;Alcione;Quem É Você;Quem É Você
01625;01625.mp4;Sandy;Quem Eu Sou;A Vida Me Mostrou Que É Pouco O Que E
01626;01626.mp4;Djavan;Sabes Mentir;Sabes Mentir
01627;01627.mp4;Vinícius De Morais;Samba Da Benção;É Melhor Ser Alegre Que Ser Triste
01628;01628.mp4;Martinho Da Vila;Samba Da Cabrocha Bamba;Samba Da Cabrocha Bamba
01629;01629.mp4;Demônios Da Garoa;Samba Italiano;Piove Piove
01630;01630.mp4;Pedro Paulo & Mateus;Saudade;Hoje Me Bateu Uma Saudade De Você
01631;01631.mp4;Latino E Perlla;Selinho Na Boca;Latino E Perlla Perlla E Latino
01632;01632.mp4;Gilberto Gil;Só Chamei Porque Te Amo;Não É Natal
01633;01633.mp4;Jorge E Mateus;Te Cuida Coração;Já Cansei De Avisar Pro Meu Coração
